dataset,label,value,category
chart_aeo,8/31/2016,-11.3199,behavioral
chart_aeo,9/30/2016,-9.7025,behavioral
chart_aeo,10/31/2016,-7.2526,behavioral
chart_aeo,11/30/2016,-9.221,behavioral
chart_aeo,12/31/2016,-6.9508,behavioral
chart_aeo,1/31/2017,-8.3863,behavioral
chart_aeo,2/28/2017,-9.6639,behavioral
chart_aeo,3/31/2017,-13.578,behavioral
chart_aeo,4/30/2017,-16.1124,behavioral
chart_aeo,5/31/2017,-15.6772,behavioral
chart_aeo,6/30/2017,-17.4765,behavioral
chart_aeo,7/31/2017,-16.6511,behavioral
chart_aeo,8/31/2017,-11.9252,behavioral
chart_aeo,9/30/2017,-9.4475,behavioral
chart_aeo,10/31/2017,-5.4312,behavioral
chart_aeo,11/30/2017,-0.5444,behavioral
chart_aeo,12/31/2017,2.9898,behavioral
chart_aeo,1/31/2018,6.4107,behavioral
chart_aeo,2/28/2018,3.3943,behavioral
chart_aeo,3/31/2018,2.5179,behavioral
chart_aeo,4/30/2018,1.8382,behavioral
chart_aeo,5/31/2018,-1.5709,behavioral
chart_aeo,6/30/2018,-5.0388,behavioral
chart_aeo,7/31/2018,-7.6741,behavioral
chart_aeo,8/31/2018,-4.9939,behavioral
chart_aeo,9/30/2018,-4.1116,behavioral
chart_aeo,10/31/2018,-5.9396,behavioral
chart_aeo,11/30/2018,-7.4476,behavioral
chart_aeo,12/31/2018,-7.0272,behavioral
chart_aeo,1/31/2019,-4.7833,behavioral
chart_aeo,2/28/2019,-7.1172,behavioral
chart_aeo,3/31/2019,-8.3536,behavioral
chart_aeo,4/30/2019,-9.4243,behavioral
chart_aeo,5/31/2019,-10.0196,behavioral
chart_aeo,6/30/2019,-9.9747,behavioral
chart_aeo,7/31/2019,-12.5924,behavioral
chart_aeo,8/31/2019,-10.9201,behavioral
chart_aeo,9/30/2019,-8.7371,behavioral
chart_aeo,10/31/2019,-6.0538,behavioral
chart_aeo,11/30/2019,5.0159,behavioral
chart_aeo,12/31/2019,13.9317,behavioral
chart_aeo,1/31/2020,16.2944,behavioral
chart_aeo,2/29/2020,15.9102,behavioral
chart_aeo,3/31/2020,24.2076,behavioral
chart_aeo,4/30/2020,32.8279,behavioral
chart_aeo,5/31/2020,26.5591,behavioral
chart_aeo,6/30/2020,22.427,behavioral
chart_aeo,7/31/2020,26.3201,behavioral
chart_aeo,8/31/2020,41.5185,behavioral
chart_aeo,9/30/2020,36.1069,behavioral
chart_aeo,10/31/2020,30.0604,behavioral
chart_aeo,11/30/2020,37.0446,behavioral
chart_aeo,12/31/2020,39.9004,behavioral
chart_aeo,1/31/2021,46.0783,behavioral
chart_aeo,2/28/2021,35.925,behavioral
chart_aeo,3/31/2021,36.5174,behavioral
chart_aeo,4/30/2021,34.1229,behavioral
chart_aeo,5/31/2021,24.9518,behavioral
chart_aeo,6/30/2021,21.26,behavioral
chart_aeo,7/31/2021,13.7533,behavioral
chart_aeo,8/31/2021,14.1234,behavioral
chart_aeo,9/30/2021,11.5329,behavioral
chart_aeo,10/31/2021,11.9924,behavioral
chart_aeo,11/30/2021,11.7084,behavioral
chart_aeo,12/31/2021,8.65,behavioral
chart_aeo,1/31/2022,7.1689,behavioral
chart_aeo,2/28/2022,3.1531,behavioral
chart_aeo,3/31/2022,5.5612,behavioral
chart_aeo,4/30/2022,5.0826,behavioral
chart_aeo,5/31/2022,5.8917,behavioral
chart_aeo,6/30/2022,10.4637,behavioral
chart_aeo,7/31/2022,21.9673,behavioral
chart_aeo,8/31/2022,23.4501,behavioral
chart_aeo,9/30/2022,24.7298,behavioral
chart_aeo,10/31/2022,28.263,behavioral
chart_aeo,11/30/2022,28.0016,behavioral
chart_aeo,12/31/2022,31.1491,behavioral
chart_aeo,1/31/2023,22.1624,behavioral
chart_aeo,2/28/2023,18.3131,behavioral
chart_aeo,3/31/2023,18.4076,behavioral
chart_aeo,4/30/2023,14.3022,behavioral
chart_aeo,5/31/2023,16.6623,behavioral
chart_aeo,6/30/2023,10.9468,behavioral
chart_aeo,7/31/2023,8.4961,behavioral
chart_aeo,8/31/2023,10.8025,behavioral
chart_aeo,9/30/2023,6.1056,behavioral
chart_aeo,10/31/2023,6.2536,behavioral
chart_aeo,11/30/2023,5.9999,behavioral
chart_aeo,12/31/2023,6.8201,behavioral
chart_aeo,1/31/2024,7.1194,behavioral
chart_aeo,2/29/2024,8.5996,behavioral
chart_aeo,3/31/2024,9.6055,behavioral
chart_aeo,4/30/2024,9.3244,behavioral
chart_aeo,5/31/2024,11.4324,behavioral
chart_aeo,6/30/2024,8.653,behavioral
chart_aeo,7/31/2024,8.8962,behavioral
chart_aeo,8/31/2024,5.0117,behavioral
chart_aeo,9/30/2024,5.2277,behavioral
chart_aeo,10/31/2024,11.2675,behavioral
chart_aeo,11/30/2024,10.9987,behavioral
chart_aeo,12/31/2024,15.6125,behavioral
chart_aeo,1/31/2025,16.8012,behavioral
chart_aeo,2/28/2025,17.8119,behavioral
chart_aeo,3/31/2025,17.9792,behavioral
chart_aeo,4/30/2025,13.7754,behavioral
chart_aeo,5/31/2025,13.0568,behavioral
chart_aeo,6/30/2025,11.1363,behavioral
chart_aeo,7/31/2025,11.1847,behavioral
chart_aeo,8/31/2025,15.3252,behavioral
chart_aeo,9/30/2025,19.848,behavioral
chart_aeo,10/31/2025,22.4437,behavioral
chart_aeo,11/30/2025,23.8966,behavioral
chart_aeo,12/31/2025,22.788,behavioral
chart_aeo,1/31/2026,25.7168,behavioral
chart_aeo,2/28/2026,24.5557,behavioral
chart_aeo,3/31/2026,23.1886,behavioral
chart_aeo,4/30/2026,24.581,behavioral
chart_aeo,5/31/2026,26.5483,behavioral
chart_aeo,6/30/2026,29.3541,behavioral
chart_barometer,8/31/2016,8.5,behavioral
chart_barometer,9/30/2016,10,behavioral
chart_barometer,10/31/2016,10,behavioral
chart_barometer,11/30/2016,10,behavioral
chart_barometer,12/31/2016,10,behavioral
chart_barometer,1/31/2017,10.3333,behavioral
chart_barometer,2/28/2017,12,behavioral
chart_barometer,3/31/2017,11.3333,behavioral
chart_barometer,4/30/2017,11.3333,behavioral
chart_barometer,5/31/2017,10.3333,behavioral
chart_barometer,6/30/2017,11.6667,behavioral
chart_barometer,7/31/2017,11,behavioral
chart_barometer,8/31/2017,10.3333,behavioral
chart_barometer,9/30/2017,9,behavioral
chart_barometer,10/31/2017,9.6667,behavioral
chart_barometer,11/30/2017,10,behavioral
chart_barometer,12/31/2017,9.6667,behavioral
chart_barometer,1/31/2018,9.5,behavioral
chart_barometer,2/28/2018,9,behavioral
chart_barometer,3/31/2018,8.5,behavioral
chart_barometer,4/30/2018,8.6667,behavioral
chart_barometer,5/31/2018,9.6667,behavioral
chart_barometer,6/30/2018,9.3333,behavioral
chart_barometer,7/31/2018,8.5,behavioral
chart_barometer,8/31/2018,8,behavioral
chart_barometer,9/30/2018,7.5,behavioral
chart_barometer,10/31/2018,8.3333,behavioral
chart_barometer,11/30/2018,8.3333,behavioral
chart_barometer,12/31/2018,8.3333,behavioral
chart_barometer,1/31/2019,8.6667,behavioral
chart_barometer,2/28/2019,10.3333,behavioral
chart_barometer,3/31/2019,10,behavioral
chart_barometer,4/30/2019,9.5,behavioral
chart_barometer,5/31/2019,9.3333,behavioral
chart_barometer,6/30/2019,8.6667,behavioral
chart_barometer,7/31/2019,9,behavioral
chart_barometer,8/31/2019,8,behavioral
chart_barometer,9/30/2019,9.3333,behavioral
chart_barometer,10/31/2019,9.3333,behavioral
chart_barometer,11/30/2019,10,behavioral
chart_barometer,12/31/2019,10,behavioral
chart_barometer,1/31/2020,9.5,behavioral
chart_barometer,2/29/2020,8.5,behavioral
chart_barometer,3/31/2020,7,behavioral
chart_barometer,4/30/2020,7,behavioral
chart_barometer,5/31/2020,11,behavioral
chart_barometer,6/30/2020,11,behavioral
chart_barometer,7/31/2020,9.6667,behavioral
chart_barometer,8/31/2020,10.3333,behavioral
chart_barometer,9/30/2020,10.5,behavioral
chart_barometer,10/31/2020,10.6667,behavioral
chart_barometer,11/30/2020,11.3333,behavioral
chart_barometer,12/31/2020,12.3333,behavioral
chart_barometer,1/31/2021,12.3333,behavioral
chart_barometer,2/28/2021,13,behavioral
chart_barometer,3/31/2021,12.6667,behavioral
chart_barometer,4/30/2021,12.3333,behavioral
chart_barometer,5/31/2021,12.3333,behavioral
chart_barometer,6/30/2021,13,behavioral
chart_barometer,7/31/2021,13,behavioral
chart_barometer,8/31/2021,12,behavioral
chart_barometer,9/30/2021,12.3333,behavioral
chart_barometer,10/31/2021,12.3333,behavioral
chart_barometer,11/30/2021,11,behavioral
chart_barometer,12/31/2021,10.3333,behavioral
chart_barometer,1/31/2022,11.3333,behavioral
chart_barometer,2/28/2022,11.6667,behavioral
chart_barometer,3/31/2022,11.3333,behavioral
chart_barometer,4/30/2022,11,behavioral
chart_barometer,5/31/2022,11,behavioral
chart_barometer,6/30/2022,10,behavioral
chart_barometer,7/31/2022,10.6667,behavioral
chart_barometer,8/31/2022,9.3333,behavioral
chart_barometer,9/30/2022,8.6667,behavioral
chart_barometer,10/31/2022,8.3333,behavioral
chart_barometer,11/30/2022,8,behavioral
chart_barometer,12/31/2022,8.3333,behavioral
chart_barometer,1/31/2023,8.6667,behavioral
chart_barometer,2/28/2023,8.6667,behavioral
chart_barometer,3/31/2023,7.5,behavioral
chart_barometer,4/30/2023,7,behavioral
chart_barometer,5/31/2023,7,behavioral
chart_barometer,6/30/2023,9.3333,behavioral
chart_barometer,7/31/2023,9.6667,behavioral
chart_barometer,8/31/2023,11.3333,behavioral
chart_barometer,9/30/2023,13,behavioral
chart_barometer,10/31/2023,12,behavioral
chart_barometer,11/30/2023,12.3333,behavioral
chart_barometer,12/31/2023,12.6667,behavioral
chart_barometer,1/31/2024,12,behavioral
chart_barometer,2/29/2024,11.6667,behavioral
chart_barometer,3/31/2024,12.3333,behavioral
chart_barometer,4/30/2024,12.3333,behavioral
chart_barometer,5/31/2024,12,behavioral
chart_barometer,6/30/2024,11.6667,behavioral
chart_barometer,7/31/2024,12,behavioral
chart_barometer,8/31/2024,11.6667,behavioral
chart_barometer,9/30/2024,11.6667,behavioral
chart_barometer,10/31/2024,13,behavioral
chart_barometer,11/30/2024,14.3333,behavioral
chart_barometer,12/31/2024,13,behavioral
chart_barometer,1/31/2025,14,behavioral
chart_barometer,2/28/2025,14,behavioral
chart_barometer,3/31/2025,13.3333,behavioral
chart_barometer,4/30/2025,13.6667,behavioral
chart_barometer,5/31/2025,13.6667,behavioral
chart_barometer,6/30/2025,14.6667,behavioral
chart_barometer,7/31/2025,15,behavioral
chart_barometer,8/31/2025,12.5,behavioral
chart_barometer,9/30/2025,14,behavioral
chart_barometer,10/31/2025,13,behavioral
chart_barometer,11/30/2025,12.3333,behavioral
chart_barometer,12/31/2025,12,behavioral
chart_barometer,1/31/2026,11.3333,behavioral
chart_barometer,2/28/2026,11.6667,behavioral
chart_barometer,3/31/2026,11.6667,behavioral
chart_barometer,4/30/2026,12.3333,behavioral
chart_barometer,5/31/2026,12.3333,behavioral
chart_barometer,6/30/2026,12.3333,behavioral
chart_barometer,7/31/2026,11.6667,behavioral
chart_preference,8/31/2016,48,behavioral
chart_preference,9/30/2016,67,behavioral
chart_preference,10/31/2016,63,behavioral
chart_preference,11/30/2016,48,behavioral
chart_preference,12/31/2016,48,behavioral
chart_preference,1/31/2017,67,behavioral
chart_preference,2/28/2017,89,behavioral
chart_preference,3/31/2017,82,behavioral
chart_preference,4/30/2017,89,behavioral
chart_preference,5/31/2017,82,behavioral
chart_preference,6/30/2017,89,behavioral
chart_preference,7/31/2017,81,behavioral
chart_preference,8/31/2017,77,behavioral
chart_preference,9/30/2017,60,behavioral
chart_preference,10/31/2017,60,behavioral
chart_preference,11/30/2017,61,behavioral
chart_preference,12/31/2017,51,behavioral
chart_preference,1/31/2018,43,behavioral
chart_preference,2/28/2018,34,behavioral
chart_preference,3/31/2018,34,behavioral
chart_preference,4/30/2018,44,behavioral
chart_preference,5/31/2018,51,behavioral
chart_preference,6/30/2018,61,behavioral
chart_preference,7/31/2018,43,behavioral
chart_preference,8/31/2018,51,behavioral
chart_preference,9/30/2018,43,behavioral
chart_preference,10/31/2018,34,behavioral
chart_preference,11/30/2018,34,behavioral
chart_preference,12/31/2018,34,behavioral
chart_preference,1/31/2019,43,behavioral
chart_preference,2/28/2019,52,behavioral
chart_preference,3/31/2019,52,behavioral
chart_preference,4/30/2019,52,behavioral
chart_preference,5/31/2019,44,behavioral
chart_preference,6/30/2019,33,behavioral
chart_preference,7/31/2019,51,behavioral
chart_preference,8/31/2019,33,behavioral
chart_preference,9/30/2019,44,behavioral
chart_preference,10/31/2019,51,behavioral
chart_preference,11/30/2019,68,behavioral
chart_preference,12/31/2019,61,behavioral
chart_preference,1/31/2020,44,behavioral
chart_preference,2/29/2020,27,behavioral
chart_preference,3/31/2020,13,behavioral
chart_preference,4/30/2020,13,behavioral
chart_preference,5/31/2020,27,behavioral
chart_preference,6/30/2020,27,behavioral
chart_preference,7/31/2020,21,behavioral
chart_preference,8/31/2020,33,behavioral
chart_preference,9/30/2020,21,behavioral
chart_preference,10/31/2020,21,behavioral
chart_preference,11/30/2020,21,behavioral
chart_preference,12/31/2020,44,behavioral
chart_preference,1/31/2021,44,behavioral
chart_preference,2/28/2021,62,behavioral
chart_preference,3/31/2021,62,behavioral
chart_preference,4/30/2021,62,behavioral
chart_preference,5/31/2021,50,behavioral
chart_preference,6/30/2021,50,behavioral
chart_preference,7/31/2021,61,behavioral
chart_preference,8/31/2021,61,behavioral
